nome_do_produto,título,url
Aura Mugler Perfume Feminino - Eau de Parfum,Perfume Aura Mugler Feminino - Época Cosméticos,https://www.epocacosmeticos.com.br/aura-mugler-perfume-feminino-eau-de-parfum/p
Secador Lizz Professional - Fusion 2600W - 110V,Secador Lizz Professional - Fusion - Época Cosméticos,https://www.epocacosmeticos.com.br/secador-lizz-professional-fusion/p
Revlon Professional Uniq One All In One Hair Treatment - Leave-in - 150ml,Leave-in Revlon Professional Uniq One All In One Hair Treatment - Época Cosméticos,https://www.epocacosmeticos.com.br/uniq-one-all-in-one-hair-treatment-revlon-professional-creme-para-pentear/p
Máscara para Cílios Maybelline Cílios Sensacionais Lavável - Preto,Máscara de Cílios Maybelline Cílios Sensacionais Lavável - Época Cosméticos,https://www.epocacosmeticos.com.br/mascara-para-cilios-maybelline-cilios-sensacionais-lavavel/p
Lola Cosmetics Morte Súbita Kit - Máscara + Shampoo Sólido,Lola Cosmetics Morte Súbita Kit - Máscara + Shampoo Sólido - Época Cosméticos,https://www.epocacosmeticos.com.br/lola-cosmetics-morte-subita-kit-mascara-shampoo-solido/p
Hidratante Facial Vichy - Minéral 89,Hidratante Facial Vichy - Minéral 89 - Época Cosméticos,https://www.epocacosmeticos.com.br/hidratante-facial-vichy-mineral-89/p
Colorstay Pump Combination/Oily Skin Revlon - Base Líquida,Colorstay Pump Combination/Oily Skin Revlon - Base - Época Cosméticos,https://www.epocacosmeticos.com.br/colorstay-pump-combination-oily-skin-revlon-base-liquida/p
BVLGARI Man in Black BVLGARI - Perfume Masculino - Eau de Parfum,Perfume BVLGARI Man in Black BVLGARI Masculino na Black Friday - Época Cosméticos,https://www.epocacosmeticos.com.br/bvlgari-man-in-black-eau-de-parfum-bvlgari-perfume-masculino/p
Protetor Solar Neutrogena Sun Fresh FPS70,Protetor Solar Neutrogena Sun Fresh FPS70 - Época Cosméticos,https://www.epocacosmeticos.com.br/sun-fresh-fps70-neutrogena-protetor-solar/p
Good Girl Collector Velvet Fatale Carolina Herrera Perfume Feminino - Eau de Parfum - 80ml,Perfume Good Girl Collector Velvet Fatale Carolina Herrera - Feminino - Época Cosméticos,https://www.epocacosmeticos.com.br/good-girl-collector-velvet-fatale-carolina-herrera-perfume-feminino-eau-de-parfum/p
